Original Species	Category	Broad_category
Auricularia auricula-judae	Fungi	Fungi
Termitomyces	Fungi	Fungi
Phellinus igniarius	Fungi	Fungi
Psathyrella aquatica	Fungi	Fungi
Gyrodon lividus	Fungi	Fungi
Ganoderma tsugae	Fungi	Fungi
Suillus tomentosus	Fungi	Fungi
Fomitopsis pinicola	Fungi	Fungi
Calyptella	Fungi	Fungi
Russula decolorans	Fungi	Fungi
Amanita gemmata	Fungi	Fungi
Hepatospora eriocheir	Microsporidia	Microsporidia
Eriocheir sinensis	Crustaceans	Invertebrates
Neotrygon kuhlii	Fish	Vertebrates
Spheniscidae	Birds	Vertebrates
Cygnus atratus	Birds	Vertebrates
Tragelaphus angasii	Mammals (Antelopes)	Vertebrates
Corvus splendens	Birds	Vertebrates
Croton lechleri	Plants	Plants
Solanum nigrum	Plants	Plants
Paenibacillus	Bacteria	Bacteria
Pyrus communis	Plants	Plants
Bondarzewia berkeleyi	Fungi	Fungi
Penicillium cairnsense	Fungi	Fungi
Penicillium glabrum	Fungi	Fungi
Penicillium adametzioides	Fungi	Fungi
Alternaria alternata	Fungi	Fungi
