acc	CpC	CpG	CpU	CpA	GpC	GpG	GpU	GpA	UpC	UpG	UpU	UpA	ApC	ApG	ApU	ApA
DQ837642.1	1.1484671722282978	0.43843366968449266	1.1499510930352266	1.2817529691392318	0.8886260967934736	1.0880016141942035	0.8673140854387127	1.1096069335099987	1.0064401786694042	1.4671940150607183	1.0081942800460146	0.5616811331211112	0.9892621482245444	0.9420732827174606	1.0061769938644365	1.0558125590668197
AY632535.2	1.1289891111640733	0.4271407581475059	1.2547027737140855	1.3035205771249105	0.9125942477827259	1.041886800208038	0.8340118337413269	1.1532297958898041	1.020438648242152	1.4352761789967021	0.9955816216561745	0.5292392044269604	0.9745805253856432	1.0727451640729684	0.9770569927882347	0.9617188882868551
AF311056.1	1.1096834034984875	0.5236804661225298	1.1563898668705177	1.3445547134764577	0.893821109716988	1.082471624041501	0.8425091006827257	1.1257408609949762	0.9892478020791486	1.3730809475589547	1.1095320243231177	0.46861599943874543	1.0424813712546406	0.9939927142536624	0.9622470878155023	1.0029933462024327
EU707555.1	1.113758251282216	0.4525899434649931	1.11681178587178	1.329230780597293	0.9431710135712081	1.0732892161739327	0.847738007594617	1.100590697389138	0.9836819041122301	1.463078871727951	1.0913101842613395	0.5036950645950249	0.9830769314834145	0.9497915300120627	0.9801633689416701	1.0760517891368133
AY632536.4	1.1604978493166849	0.5025315462356362	1.1862504713193307	1.2302225854311373	0.9596536154017873	1.0742960707511455	0.8187707938241824	1.0944802288800142	0.9921727648263516	1.3676504741285418	1.1605097100902002	0.5193498068913227	0.9245399941668838	1.0256449943592585	0.917117722573983	1.0948430674460774
AB377213.1	0.9169853918306689	0.9322091916187133	0.9725092779415168	1.194813907323192	0.9122047025281829	0.9249421017654638	1.0082262501627284	1.17322458948903	1.0431760420825957	1.2976245256724004	1.0886046761732895	0.4956141487080838	1.1497580756224572	0.866360886263038	0.9294851206410865	1.089016530814324
L06436.1	1.1046597863504923	0.5145969802751997	1.1834611919595812	1.3533141663770303	0.9035521004312598	1.0605036458755832	0.8652675307087179	1.1251687352624593	0.9933313611201732	1.4003852881740457	1.0742360422258939	0.4449491039780853	1.0336206117738886	1.0100679669370722	0.942746568965062	1.0072292031382886
AB114858.1	1.1018771904376565	0.517668874260811	1.1471721972849136	1.2342865867498256	0.8869505793523993	1.1090534817901954	0.8745705813423388	1.0812075358910147	0.9832904548156403	1.4473527226440113	1.066658620165383	0.5715446753009417	1.0397840795961208	0.9004154561190746	0.9548001000938628	1.0934836018118563
X03700.1	1.1868038324203063	0.3832219177701851	1.234694075137667	1.2991779156265642	0.8820186996297912	1.0852092143572358	0.8212762699538703	1.1543772710305977	1.0204549205475697	1.473507681598196	1.0480002986260388	0.44910420785824773	0.9601241669142657	0.9940470944985703	0.9627854913562435	1.0690554275085928
AB981186.1	0.9380146956388011	0.8809951816905462	0.9706905492509338	1.2382301523637582	0.9303843055125921	0.9710093381619506	0.9846472951833772	1.1236520006574855	1.0729513040342575	1.2946541412397248	1.0784158687951073	0.4896424826464811	1.074417603023806	0.8587712560856217	0.9694263918168586	1.1221225889340967
KC464457.1	0.9461037549360534	0.8774921440118651	1.0216539848715083	1.176406400064975	0.892364892215456	0.9692460145954626	1.0229904099896865	1.126404989478772	1.0830476757959902	1.3339128683854664	1.0019737879043389	0.5171271306042728	1.0974529503961845	0.8284437190851289	0.9467154992880733	1.1561607197371395
FJ644291.1	0.9531048198359449	0.9047292625831038	1.0026359194957075	1.157525919906865	0.9127951995452117	0.9675915095791251	0.989929363486773	1.1386752375727267	1.043431747206018	1.2994565729150316	1.0724328297769343	0.5319421451005459	1.1073350941114455	0.8376301319231442	0.9353722734948438	1.143151879008733
Y07863.1	1.0176173423922	0.5610329071647087	1.2900036569530067	1.3126787773074737	0.9031875052561902	1.021006773911148	0.8713454925126949	1.1706174358420656	1.029653905246254	1.426600966874717	1.0142390068255756	0.40400425171813975	1.085169612661914	1.0244364373602892	0.8862615792195228	0.9845002042037954
AY632541.4	1.2367987422981421	0.5503928344593205	1.1652086124324055	1.1572995607594838	0.9117310665004811	1.0236173789495975	0.8576094280454096	1.1526232211945882	0.9389739505683818	1.375928930853999	1.158402387750096	0.5346367436510218	0.9633736884160029	1.015030233928698	0.9004408314122472	1.0897725667662612
