0.07	1498	0	D	2157	Archaea	BlackFly_NC_3_jill_
0.05	1102	0	D	10239	Viruses	BlackFly_NC_3_jill_
37.74	741530	741530	U	0	unclassified	BlackFly_NC_Jara_1_
53.02	1041843	76928	D	2	Bacteria	BlackFly_NC_Jara_1_
7.65	150264	0	D	2759	Eukaryota	BlackFly_NC_Jara_1_
0.07	1351	2	D	2157	Archaea	BlackFly_NC_Jara_1_
0.05	946	0	D	10239	Viruses	BlackFly_NC_Jara_1_
25.35	515119	515119	U	0	unclassified	BlackFly_NC_Jara_2
67.07	1362842	44898	D	2	Bacteria	BlackFly_NC_Jara_2
7.06	143429	0	D	2759	Eukaryota	BlackFly_NC_Jara_2
0.11	2332	0	D	2157	Archaea	BlackFly_NC_Jara_2
0.04	716	0	D	10239	Viruses	BlackFly_NC_Jara_2
38.25	968093	968093	U	0	unclassified	BlackFly_NC_Ludociva_1
52.60	1331262	103468	D	2	Bacteria	BlackFly_NC_Ludociva_1
8.16	206607	0	D	2759	Eukaryota	BlackFly_NC_Ludociva_1
0.10	2536	3	D	2157	Archaea	BlackFly_NC_Ludociva_1
0.10	2629	0	D	10239	Viruses	BlackFly_NC_Ludociva_1
31.22	643372	643372	U	0	unclassified	BlackFly_NC_Ludovica_2
62.29	1283638	109457	D	2	Bacteria	BlackFly_NC_Ludovica_2
6.04	124520	0	D	2759	Eukaryota	BlackFly_NC_Ludovica_2
0.09	1793	0	D	2157	Archaea	BlackFly_NC_Ludovica_2
0.05	1031	2	D	10239	Viruses	BlackFly_NC_Ludovica_2
