rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A115_length_1386_cov_5.107716_BlackFly7	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	NA
NODE_A115_length_1707_cov_97.667485_BlackFly45	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Colletotrichum eremochloae partitivirus 1
NODE_A115_length_1717_cov_44.078659_BlackFly35	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Gaeumannomyces tritici partitivirus 1
NODE_A1158_length_1316_cov_5.773204_BlackFly3	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Curvulaviridae	Orthocurvulavirus	Trichoderma harzianum orthocurvulavirus 1
NODE_A116_length_1713_cov_6.366137_BlackFly35	NA	NA	NA	NA	NA	NA	NA	Magnaporthe oryzae polymycovirus 2
NODE_A118_length_1343_cov_8.256714_BlackFly58	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	Drosophila suzukii associated hytrosavirus 1
NODE_A118_length_1710_cov_2.617269_BlackFly53	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	Erysiphe necator associated chryso-like virus 2
NODE_A118_length_2006_cov_3.419907_BlackFly30	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A1192_length_1116_cov_3.553417_BlackFly43	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Erysiphe necator associated negative-stranded RNA virus 18
NODE_A12_length_3661_cov_9.920201_BlackFly18	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A1204_length_1027_cov_105.941053_BlackFly36	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	NA
NODE_A121_length_1705_cov_3.441032_BlackFly53	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	NA
NODE_A122_length_1831_cov_6.485177_BlackFly5	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus coniothyrii
NODE_A1225_length_1033_cov_4.423640_BlackFly25	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Alphachrysovirus	Alphachrysovirus verticillii
NODE_A1245_length_1270_cov_8.275775_BlackFly23	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Martellivirales sp.
NODE_A125_length_1323_cov_6.082665_BlackFly58	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	Drosophila suzukii associated hytrosavirus 1
